P,T_upper,T_lower
128.08747244652508,3392.8321037705155,2679.6626122083376
129.20110893117504,3475.1937524163395,2757.637636253206
130.32190090494535,3562.618014718407,2855.133126856531
131.44269287871572,3654.0578877051817,2975.672107300041
132.56348485248606,3750.858196519674,3121.541845001199
133.68427682625642,3861.5157095804134,3294.360059965464
134.80506880002676,3973.9364541315176,3494.9838052104815
136.06624963015213,4108.190703359987,3736.9411543542356
138.0817647420744,4293.055103158057,3852.0866939032094
140.09727985399664,4312.5611765666345,3876.2031316914863
142.11279496591888,4330.839277006759,3897.2794916421285
144.1283100778411,4349.450941910956,3918.3558515927703
146.12808347022496,4368.175810455867,3937.7475135033387
148.12735983479996,4386.839274102601,3956.7162379092633
150.12663619937499,4405.313853189055,3975.6849617895987
152.12591256395,4423.429066602343,3993.748351788805
154.12518892852495,4441.544286618164,4010.6094393564554
156.12446529309997,4459.475977546106,4025.955096031157
158.12374165767497,4477.2194708997895,4041.001784245211
160.12301802225,4494.812130977514,4057.079553522293
162.122294386825,4512.275661958371,4074.0866864570144
164.12157075139996,4529.663782932184,4091.4484340215504
166.10124141518426,4546.995180035969,4108.86691342011
168.06135374203944,4561.915209304398,4125.785898642906
170.02146606889463,4579.887982532369,4142.632779160081
171.98157839574984,4598.012734591072,4159.441611897881
173.941690722605,4616.07818655913,4176.2504440400135
175.90180304946017,4632.299222366348,4192.72063776851
177.86191537631535,4646.76852192463,4209.060485321266
179.82202770317056,4663.577365496457,4225.346763390188
181.7821400300257,4679.7426260250495,4241.46021887855
183.7422523568809,4695.710684994738,4257.572312017064
185.70066272355615,4711.7356850657725,4273.6303986419325
187.60728270620868,4727.843727883343,4289.481215102845
189.51390268886118,4743.613969085197,4305.190250677135
191.42052267151365,4759.101783842212,4320.756824943181
193.32714265416618,4774.517135961724,4336.172179094579
195.2337626368187,4789.932488081235,4351.587533808836
197.1403826194712,4805.247895468297,4366.947519138295
199.04700260212374,4820.401970920027,4382.169958399626
200.9536225847762,4835.383643362004,4397.062757743297
202.8602425674287,4850.31154042951,4412.029610109553
204.76686255008124,4865.222138002888,4426.929806553358
206.63529753282188,4880.202031402797,4441.724226793376
208.47409686478886,4894.757829223735,4456.355749459447
210.31289619675582,4909.178686931599,4470.8116783068335
212.1516955287228,4923.548932379985,4485.181923728149
213.99049486068978,4937.91917782837,4499.5521695386915
215.82929419265676,4952.234261245223,4513.845200833916
217.66809352462369,4966.370720728208,4527.913303311256
219.50689285659067,4980.04423078921,4541.76979946656
221.34569218855765,4994.086958071539,4555.70458312901
223.18449152052463,5008.156286356768,4569.639366282844
225.01563904861538,5022.134680839397,4583.491682456661
226.7732446438461,5035.459817444605,4597.165188723499
228.5308502390769,5048.784955504363,4610.436811005531
230.28845583430765,5062.134211298052,4623.7672000730945
232.04606142953844,5075.5464375111715,4637.167461153242
233.80366702476923,5088.8046535994135,4650.492598060071
235.56127261999995,5101.999894908024,4663.945308053231
237.31887821523074,5115.116455996323,4676.228926604891
239.07648381046153,5127.91904143802,4687.510540408145
240.83408940569228,5140.721621810738,4702.5650832525
242.59169500092307,5153.496921004881,4714.55642640329
244.29134833646526,5166.2124118306165,4726.817618272305
245.95629754977355,5178.687401928884,4739.909630478366
247.62124676308184,5191.095653087256,4752.400992421042
249.28619597639013,5203.427494120849,4764.809058423671
250.95114518969837,5215.53333699506,4777.132852638201
252.61609440300666,5227.833121713235,4789.325788432596
254.2810436163149,5240.017584231738,4801.444172696541
255.94599282962324,5251.862150438169,4813.34828373515
257.6109420429316,5263.6233837388345,4825.030948430809
259.2758912562398,5275.331727807579,4836.875514364389
260.9248278876538,5287.046871195144,4848.661050521318
262.4875685147177,5298.978532017535,4860.319223349167
264.0503091417816,5310.43552443345,4871.7283281035325
265.61304976884554,5321.723932948017,4883.215145011419
267.17579039590936,5332.958855425399,4894.406780948708
268.73853102297323,5343.934295050821,4905.330546835265
270.30127165003705,5355.064801964269,4916.565465512418
271.864012277101,5366.245468225071,4927.924768777569
273.4267529041649,5377.219109812196,4939.053998074746
274.9894935312288,5387.837888615813,4949.592177748279
276.5522341582926,5398.559902986445,4960.21123285506
278.0374399292,5409.52329316079,4970.743163581662
279.48746454526537,5420.148570644274,4981.219184189696
280.93748916133075,5430.7183913655035,4991.844456727768
282.3875137773962,5441.065351047199,5002.273666070317
283.83753839346156,5450.819696731276,5012.419612980283
285.2875630095269,5461.018855823164,5022.173961903003
286.7375876255923,5471.056183205241,5032.348497911232
288.1876122416577,5480.833429681936,5042.388808656479
289.6376368577231,5490.936146649756,5052.317341791597
291.08766147378844,5500.863024805548,5062.245874926714
292.5115261680938,5510.582423310004,5071.831825851463
293.84214823013536,5519.9884048904405,5081.256273193178
295.1727702921769,5529.394380098378,5090.5751594225585
296.5033923542185,5538.800358051312,5099.894046019261
297.83401441626,5548.1796767481155,5109.265928036382
299.16463647830153,5557.32437448067,5118.690697828995
300.49525854034306,5566.469077306122,5128.183768638093
301.82588060238464,5575.503499635305,5137.031730693841
303.1565026644262,5584.299836570186,5145.778444624299
304.48712472646775,5593.01570969764,5154.571507374391
305.8177467885093,5601.7712002665185,5163.280746714666
307.05304720150326,5610.543428731756,5171.933828841071
308.25662494606354,5619.165580308848,5180.577929477724
309.46020269062376,5627.592914234603,5189.287169145323
310.6637804351839,5635.8615829983,5197.397680532512
311.8673581797441,5643.961174059728,5205.450817411388
313.07093592430425,5652.060765121156,5213.550410213247
314.2745136688646,5660.160360256589,5221.650003015106
315.47809141342475,5668.244744947097,5229.8089157547965
316.6816691579849,5676.2572413925645,5237.895139409716
317.88524690254513,5684.065446758028,5245.733454815963
319.0543109631198,5691.6810907336785,5253.181754198071
320.1352887071115,5699.083939227622,5260.628406936523
321.21626645110314,5706.573580298483,5268.118353371356
322.2972441950948,5714.01094621551,5275.608298916788
323.37822193908636,5721.395421570037,5282.973280579703
324.459199683078,5728.71118262812,5290.260764248717
325.54017742706975,5735.741899891631,5297.48943311655
326.62115517106133,5742.672235288852,5304.231109086957
327.70213291505297,5749.583029998556,5311.242470188449
328.7831106590446,5757.394358028495,5318.348850317345
329.85031193152366,5763.786773625343,5324.488864447144
330.8410835350601,5769.631790992712,5331.186855829636
331.81445315546233,5775.712400812262,5337.9413955610635
332.7878227758645,5782.4453251847535,5344.473325425275
333.7611923962668,5789.1348367722085,5350.583616012419
334.73456201666903,5795.057119875423,5356.68008396384
335.7079316370713,5801.121508179426,5362.760633302983
336.6813012574736,5807.181126227126,5368.770008375973
337.65467087787584,5813.190503796851,5374.779383448961
338.6280404982781,5819.199876594456,5380.754156625785
339.6014101186803,5824.876057454222,5386.673656425129
340.51695713449124,5830.320224528429,5391.986292494496
341.322207958828,5835.63285968012,5397.2989286860275
342.12745878316474,5840.945494831812,5402.592483864512
342.9327096075014,5846.298142486088,5407.818027468677
343.7379604318381,5851.703678893545,5413.18750902727
344.5432112561748,5857.190496097058,5418.549473119425
345.3484620805116,5862.383841226119,5423.844309680037
346.15371290484825,5867.239278035736,5428.721484141397
346.9589637291849,5871.593901132262,5433.372867250643
347.76421455352164,5876.635185650682,5437.8728614702195
348.5694653778583,5881.571431195251,5442.288860563607
349.2225710672016,5885.740972007116,5445.97270786239
349.8539717728796,5890.073020323452,5451.3841273310145
350.4853724785576,5894.491749101489,5456.060998633848
351.11677318423557,5898.846372198014,5460.3577254464535
351.7481738899136,5902.7837240618655,5464.3550251070155
352.37957459559163,5906.554103308546,5468.187090847963
353.01097530126964,5910.3861658894075,5471.961793462558
353.64237600694764,5914.21822847027,5475.7067665942795
354.27377671262565,5918.050294685926,5479.451739726
354.9051774183036,5921.862595126865,5483.272758657882
355.4643791359929,5925.520475655907,5486.895614765163
355.9181088412834,5928.86449190038,5490.254031903555
356.37183854657394,5931.972637562848,5493.215172848442
356.8255682518645,5934.846689168713,5496.236839580234
357.27929795715505,5937.96510640513,5499.258752955212
357.73302766244564,5941.005928795882,5502.21989461811
358.18675736773616,5943.94097379839,5505.418661788732
358.6404870730267,5946.727929708126,5508.3710556390215
359.0942167783173,5949.448954804417,5511.038521050817
359.5479464836078,5951.958440702955,5513.477107922492
360.0016761888984,5954.135748661169,5515.724632672507
360.28703471922574,5956.397676716509,5517.872459852472
360.5611829832644,5958.510839307619,5519.962677581343
360.83533124730315,5960.578801193904,5522.135265575644
361.1094795113419,5962.930298384038,5524.312575448803
361.3836277753806,5965.0054019275785,5526.44800002965
361.6577760394193,5966.799170399798,5528.364032900124
361.931924303458,5968.278367350373,5529.812117046096
362.2060725674967,5969.584757869381,5531.085857582174
362.4802208315354,5970.944721041883,5532.305151377016
362.75436909557413,5972.299455624028,5533.695510877706
362.94254058941885,5973.518744346976,5535.037660637406
363.03328653047697,5974.810299945412,5536.326922761544
363.1240324715351,5976.0405793959335,5537.546216556387
363.2147784125932,5977.141980116205,5538.485462085965
363.3055243536513,5977.577438835808,5539.177348369122
363.39627029470944,5979.121168362666,5539.6112070051295
363.48701623576756,5981.139994355367,5539.959576865944
363.5777621768257,5982.821257908118,5540.416928140903
363.6685081178838,5983.217515279408,5540.878623190681
363.7592540589419,5983.742558483867,5541.139900586292
363.85,5984.63226743221,5541.859479645091
